page,clicks,impressions,ctr_pct,position
"https://agency.innergcomplete.com/schools/v-a-beauty-academy-llc-sherman-30ab0d17",26,245,10.61,4.5
"https://agency.innergcomplete.com/",19,491,3.87,9.6
"https://agency.innergcomplete.com/texas-barber-practical-exam-kit-list",19,469,4.05,6.0
"https://agency.innergcomplete.com/salons/k-beauty-salon-houston-2d7269cf",18,478,3.77,5.1
"https://agency.innergcomplete.com/schools/eyes-on-me-advanced-barber-college-watauga-078ddd40",15,268,5.60,3.3
"https://agency.innergcomplete.com/stores/beauty-empire-30-humble-bcc3455d",10,360,2.78,5.4
"https://agency.innergcomplete.com/salons/a-n-h-salon-houston-657ba0a3",8,730,1.10,4.1
"https://agency.innergcomplete.com/schools/rm-barber-cosmetology-school-llc-lockhart-138ed7be",8,140,5.71,4.2
"https://agency.innergcomplete.com/schools/ogle-school-hair-skin-nails-houston-b6bcf873",7,100,7.00,9.6
"https://agency.innergcomplete.com/stores/salice-barber-supply-houston-77099-58286a02",7,194,3.61,5.6
"https://agency.innergcomplete.com/salons/its-a-hair-studio-houston-24db3361",6,65,9.23,8.2
"https://agency.innergcomplete.com/salons/trygos-salon-de-belleza-houston-6bd1285e",6,105,5.71,4.8
"https://agency.innergcomplete.com/schools/angelica-s-cosmo-academy-stockton-c09b9680",6,43,13.95,2.9
"https://agency.innergcomplete.com/schools/high-class-barber-academy-llc-ingleside-ca0735e8",6,46,13.04,5.1
"https://agency.innergcomplete.com/schools/jays-barber-styling-llc-college-mckinney-9b96eec1",6,131,4.58,4.3
"https://agency.innergcomplete.com/stores/nefertiti-beauty-supply-now-open-as-rooted-royal-san-jose-f919831f",6,118,5.08,4.8
"https://agency.innergcomplete.com/texas-cosmetology-practical-exam-kit-list",6,196,3.06,7.2
"https://agency.innergcomplete.com/insights/texas-esthetician-nail-technician-exam-guide",5,443,1.13,28.1
"https://agency.innergcomplete.com/schools/7a3cb9b9-d6e2-4552-8fb6-07f005f6484c",5,27,18.52,5.2
"https://agency.innergcomplete.com/schools/epcc-cosmetology-program-salon-el-paso-5f26d2d3",5,162,3.09,8.9
"https://agency.innergcomplete.com/schools/torito-liza-beauty-academy-houston-996ca42e",5,90,5.56,4.4
"https://agency.innergcomplete.com/stores/new-star-beauty-supply-san-jose-8405fd46",5,207,2.42,4.7
"https://agency.innergcomplete.com/cosmetologists/elizabeth-krikstan-professional-houston-7de32d4f",4,11,36.36,5.1
"https://agency.innergcomplete.com/cosmetologists/emily-tryon-cosmetologist-houston-629b9d2e",4,16,25.00,2.4
"https://agency.innergcomplete.com/salons/brows-beauty-bar-baytown-a2dbe144",4,69,5.80,3.5
"https://agency.innergcomplete.com/salons/david-alexander-image-studio-houston-c4eaf769",4,593,0.67,6.3
"https://agency.innergcomplete.com/salons/dj-hair-salon-houston-2c217030",4,86,4.65,5.1
"https://agency.innergcomplete.com/salons/hair-essentials-weave-bar-houston-855af8c6",4,55,7.27,3.3
"https://agency.innergcomplete.com/salons/inova-hair-salon-barbershop-houston-3bc82772",4,44,9.09,4.0
"https://agency.innergcomplete.com/salons/irma-s-cuts-houston-798b8de6",4,118,3.39,7.5
"https://agency.innergcomplete.com/salons/mary-carmen-s-hair-studio-brownsville-2eae329c",4,120,3.33,5.1
"https://agency.innergcomplete.com/salons/natural-hair-of-katy-houston-e1f5dbbc",4,914,0.44,5.0
"https://agency.innergcomplete.com/schools/elliot-reed-beauty-institute-dallas-01e7a3c3",4,26,15.38,4.5
"https://agency.innergcomplete.com/schools/galaxy-beauty-school-llc-richardson-aa385ebf",4,29,13.79,4.8
"https://agency.innergcomplete.com/schools/south-plains-college-levelland-a9accca2",4,183,2.19,8.7
"https://agency.innergcomplete.com/schools/southern-careers-institute-corpus-christi-9e6ca96f",4,16,25.00,6.0
"https://agency.innergcomplete.com/schools/southwest-high-school-san-antonio-572a1b2e",4,15,26.67,9.6
"https://agency.innergcomplete.com/schools/upscale-barber-academy-waxahachie-0d0892cd",4,91,4.40,8.7
"https://agency.innergcomplete.com/shop/top-tier-cuts-barbershop-mcallen-72208430",4,37,10.81,6.6
"https://agency.innergcomplete.com/stores/beauty-empire-super-center-2-houston-77070-7739f7c3",4,420,0.95,5.9
"https://agency.innergcomplete.com/stores/beauty-pop-houston-77095-05bff1bf",4,77,5.19,15.1
"https://agency.innergcomplete.com/stores/big-joy-wigs-beauty-austin-e4616408",4,892,0.45,4.7
"https://agency.innergcomplete.com/stores/jenny-beauty-supply-westheimer-6-houston-77094-a7634b26",4,476,0.84,8.1
"https://agency.innergcomplete.com/stores/shine-beauty-supply-marbach-san-antonio-da9a0305",4,3092,0.13,5.2
"https://agency.innergcomplete.com/stores/sky-nail-supply-in-houston-acrylic-dipping-monomer-nail-art-accessories-houston-77014-001bcefa",4,340,1.18,6.5
"https://agency.innergcomplete.com/stores/yes-beauty-supply-moreno-valley-e4bdf6bf",4,385,1.04,3.0
"https://agency.innergcomplete.com/barbers/david-stylz-da-barber-irving-75062-38e64971",3,58,5.17,3.6
"https://agency.innergcomplete.com/barbers/jaydbarber-tx-79197021",3,11,27.27,3.1
"https://agency.innergcomplete.com/barbers/jnande-z-barberstudio-tx-20dc028e",3,5,60.00,2.4
"https://agency.innergcomplete.com/barbers/loc-blade-by-k-mone-tx-dbaebed5",3,15,20.00,5.3
"https://agency.innergcomplete.com/salons/array-of-artistry-houston-d6f6d6f2",3,52,5.77,7.8
"https://agency.innergcomplete.com/salons/blessing-hand-hair-braiding-houston-a7e8eb4e",3,63,4.76,6.7
"https://agency.innergcomplete.com/salons/brazos-bombshell-salon-waco-ced89fa2",3,34,8.82,4.7
"https://agency.innergcomplete.com/salons/chee-master-hair-braiding-houston-746bb6b7",3,106,2.83,5.6
"https://agency.innergcomplete.com/salons/fs-cut-color-mckinney-fantastic-sams-hair-salon-mckinney-ad438f50",3,143,2.10,7.2
"https://agency.innergcomplete.com/salons/gio-hair-salon-houston-bc8d5997",3,345,0.87,6.1
"https://agency.innergcomplete.com/salons/hair-by-kenny-houston-35a45576",3,327,0.92,5.5
"https://agency.innergcomplete.com/salons/hair-by-rosie-at-the-hair-lab-houston-b549ea07",3,26,11.54,5.5
"https://agency.innergcomplete.com/salons/hair-salon-by-moises-houston-f840af9f",3,83,3.61,7.1
"https://agency.innergcomplete.com/salons/house-of-haircology-texture-llc-houston-7b43273c",3,36,8.33,4.2
"https://agency.innergcomplete.com/salons/inhairited-touch-salon-houston-084756c2",3,27,11.11,14.0
"https://agency.innergcomplete.com/salons/juanitas-isa-iris-hair-salon-2-houston-75ad5358",3,75,4.00,6.1
"https://agency.innergcomplete.com/salons/lizbetee-african-hairbraiding-and-beauty-house-houston-houston-27138628",3,132,2.27,3.3
"https://agency.innergcomplete.com/salons/nd-beauty-studio-houston-ae72dad8",3,22,13.64,5.3
"https://agency.innergcomplete.com/salons/neas-market-salon-houston-3765a198",3,53,5.66,4.3
