School,Contact,City,Status,Google_PlaceID,Google_Name,Google_Address,Latitude,Longitude,Telephone,Website,Rating,TotalReviews,Types,BusinessStatus,OpeningHours
"Academy of Hair Design","Carroll Lewing","Lufkin, TX","Accredited","ChIJCWLFHWY9OIYR7tfqvf9PixM","Academy of Hair Design","512 S Chestnut St, Lufkin, TX 75901, USA","31.3307704","-94.719017","(936) 634-8440","http://lufkinhairdesign.com/","4","61","point_of_interest | educational_institution | establishment","OPERATIONAL","Monday: 9:30 AM – 3:00 PM; Tuesday: 9:30 AM – 3:00 PM; Wednesday: 9:30 AM – 3:00 PM; Thursday: 9:30 AM – 3:00 PM; Friday: 9:30 AM – 3:00 PM; Saturday: Closed; Sunday: Closed"
"American Laser & Aesthetics Institute","Youn Park","San Antonio, TX","Accredited","ChIJZ38cYK9fXIYRFk3RdYGBUYQ","American Laser & Aesthetics Institute","1111 Babcock Rd, San Antonio, TX 78201, USA","29.483694800000002","-98.5564448","(210) 731-8450","https://www.aesthetics.school/","5","46","body_art_service | beauty_salon | hair_care | medical_clinic | health | service | point_of_interest | educational_institution | establishment","OPERATIONAL","Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 8:30 AM – 5:00 PM; Sunday: Closed"
"Avenue Five Institute","Brandon Martin","Austin, TX","Accredited","ChIJ27WbKZbLRIYRV_EX2YsKd1k","Avenue Five Institute","8620 Burnet Rd #300, Austin, TX 78757, USA","30.369325300000003","-97.7288999","(512) 968-2835","http://www.avenuefive.edu/","4.8","1007","skin_care_clinic | hair_salon | nail_salon | beauty_salon | spa | medical_clinic | hair_care | health | educational_institution | service | point_of_interest | establishment","OPERATIONAL","Monday: 8:30 AM – 9:30 PM; Tuesday: 8:30 AM – 9:30 PM; Wednesday: 8:30 AM – 9:30 PM; Thursday: 8:30 AM – 9:30 PM; Friday: 8:30 AM – 9:30 PM; Saturday: Closed; Sunday: Closed"
"Avenue Five Institute","Brandon Martin","Austin, TX","Additional Location Accreditation","ChIJ27WbKZbLRIYRV_EX2YsKd1k","Avenue Five Institute","8620 Burnet Rd #300, Austin, TX 78757, USA","30.369325300000003","-97.7288999","(512) 968-2835","http://www.avenuefive.edu/","4.8","1007","skin_care_clinic | nail_salon | hair_salon | spa | beauty_salon | hair_care | point_of_interest | educational_institution | medical_clinic | health | service | establishment","OPERATIONAL","Monday: 8:30 AM – 9:30 PM; Tuesday: 8:30 AM – 9:30 PM; Wednesday: 8:30 AM – 9:30 PM; Thursday: 8:30 AM – 9:30 PM; Friday: 8:30 AM – 9:30 PM; Saturday: Closed; Sunday: Closed"
"Bella Cosmetology and Barber College","Sharon Eitelman","Greenville, TX","Accredited","ChIJLwdWJn3oS4YRRz1gcFaksy0","Bella Cosmetology and Barber College","5015 A Wesley St, Greenville, TX 75402, USA","33.1200501","-96.10798","(903) 494-5170","https://www.facebook.com/Bellacollege2/","4.8","34","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: 9:00 AM – 4:00 PM; Tuesday: 9:00 AM – 4:00 PM; Wednesday: 9:00 AM – 4:00 PM; Thursday: 9:00 AM – 4:00 PM; Friday: 9:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed"
"Brighton Barber Institute","Heather Schultz","Hurst, TX","Accredited","ChIJDaRssDd_ToYRczL38HBjIT8","Brighton Barber Institute","133 W Harwood Rd, Hurst, TX 76054, USA","32.8489325","-97.1702617","(817) 785-7051","http://brightonbarber.com/","4.8","118","hair_salon | barber_shop | hair_care | health | educational_institution | service | point_of_interest | establishment","OPERATIONAL","Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed"
"Central Texas Beauty College","Jennifer Painter-Beillon","Temple, TX","Additional Location Accreditation","ChIJvY0q8BFrRYYRosgrzvShMW4","Central Texas Beauty College Temple","2010 S 57th St, Temple, TX 76504, USA","31.084908400000003","-97.3791901","(254) 773-9911","https://centraltexasbeautycollege.com/","4.2","156","hair_salon | hair_care | beauty_salon | educational_institution | service | point_of_interest | establishment","OPERATIONAL","Monday: Closed; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed"
"Central Texas Beauty College 2","Jennifer Painter-Beillon","Round Rock, TX","Accredited","ChIJc5sYiZrRRIYRMYiEvBfILzM","Central Texas Beauty College","1400 N Mays St, Round Rock, TX 78664, USA","30.5207765","-97.68490949999999","(512) 244-2235","http://www.centraltexasbeautycollege.com/","4.3","131","hair_salon | beauty_salon | hair_care | educational_institution | service | point_of_interest | establishment","OPERATIONAL","Monday: Closed; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed"
"Cosmetology Academy of Texarkana","Peggy Smith","Texarkana, TX","Accredited","ChIJ41ho3l9BNIYRGrfxsUE-Nfk","Cosmetology Academy of Texarkana","4115 N Kings Hwy Suite 110, Texarkana, TX 75503, USA","33.4568858","-94.1325213","(903) 838-0340","https://www.cosmetologyacademytx.com/","4.7","214","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: 8:30 AM – 3:30 PM; Tuesday: 8:30 AM – 3:30 PM; Wednesday: 8:30 AM – 3:30 PM; Thursday: 8:30 AM – 3:30 PM; Friday: 8:30 AM – 3:00 PM; Saturday: Closed; Sunday: Closed"
"G.A. Beauty & Barber School","Guadalupe Rayon","McAllen, TX","Accredited","ChIJkYGRq_umZYYRfoNbRku5370","GA Beauty & Barber School","3301 N Ware Rd Suite A-C, McAllen, TX 78501, USA","26.237578199999998","-98.25712829999999","(956) 664-2233","http://www.gabeautybarber.com/","4.8","227","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: 8:00 AM – 9:30 PM; Tuesday: 8:00 AM – 9:30 PM; Wednesday: 8:00 AM – 9:30 PM; Thursday: 8:00 AM – 9:30 PM; Friday: 10:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed"
