Institution ID,School Name,City,Zip,Website,Student Body Size,Cost of Attendance,Completion Rate,1-Year Median Earnings,3-Year Default Rate,Pell Grant Rate,Federal Loan Rate,Median Student Debt,% Male,% Female,% Black,% Hispanic,% White
223056,Baldwin Beauty School-South Austin,Austin,78704-4785,baldwinbeautyschools.com/,31,13900,0.4,22130,0,0.5,0.5541,6980,0.0645,0.9355,0.0968,0.4194,0.4194
223852,Charles and Sues School of Hair Design,Bryan,77802,www.charlesandsues.com/,69,18000,0.8793,23316,0,0.5437,0.6214,9500,0.0145,0.9855,0.0435,0.1594,0.7101
224013,BK Cosmo College of Cosmetology,Kerrville,78028-4312,www.bkcosmo.com/,55,13500,0.7114,19089,0,0.5556,0.5833,N/A,0.0182,0.9818,0,0.5091,0.4545
224758,Exposito School of Hair Design,Amarillo,79109-3208,expositoschoolofhair.com/,14,13020,0.1613,20397,N/A,0.6429,0.4762,N/A,0,1,0,0.2857,0.6429
225043,Graham's Barber College,DALLAS,75215-1701,grahamsbarbercollege.com/,8,10000,N/A,N/A,N/A,1,0,N/A,0.75,0.25,0.625,0.375,0
227058,Tint School of Makeup & Cosmetology,Irving,75061-4235,https://tintcosmetologyschools.com/,44,15750,0.5738,23288,0,0.4756,0.4512,6333,0.0227,0.9773,0.2955,0.3864,0.1136
227313,Ogle School Hair Skin Nails-Arlington,Arlington,76013,ogleschool.edu/,374,15700,0.6289,19689,0,0.6936,0.6046,7917,0.0241,0.9759,0.4465,0.2647,0.1684
227322,Ogle School Hair Skin Nails-Ft Worth,Fort Worth,76132-3638,www.ogleschool.edu/,500,15700,0.7373,19872,0,0.6536,0.563,7917,0.028,0.972,0.24,0.284,0.402
228088,Seguin Beauty School-Seguin,Seguin,78155,seguinbeautyschool.net/,38,15500,0.625,19465,0,0.64,0.66,9995,0,1,0.0526,0.3947,0.4737
228185,South Texas Barber College Inc,Corpus Christi,78415,www.southtexasbarbercollege.net/,23,8300,0.8572,11071,N/A,0.8276,0,N/A,0.7826,0.2174,0,0,0
