Country,Clicks,Impressions,CTR,Position
United States,179,43362,0.41%,8.67
India,6,116,5.17%,11
Mexico,1,84,1.19%,8.1
Pakistan,1,43,2.33%,7.07
Philippines,1,40,2.5%,8.3
Nigeria,1,14,7.14%,5.43
Canada,0,171,0%,6.39
France,0,133,0%,6.44
United Kingdom,0,130,0%,9.53
Brazil,0,113,0%,5.36
Germany,0,106,0%,7.06
Argentina,0,58,0%,5.26
Italy,0,51,0%,9.35
Vietnam,0,41,0%,9.05
Colombia,0,40,0%,5.03
Spain,0,39,0%,9.05
Netherlands,0,35,0%,5.43
Russia,0,33,0%,9.18
South Korea,0,25,0%,9.4
Venezuela,0,24,0%,4.04
Poland,0,22,0%,6.77
Australia,0,19,0%,6.84
Ukraine,0,19,0%,7.05
Indonesia,0,17,0%,9.29
South Africa,0,16,0%,7.94
Malaysia,0,12,0%,10.75
China,0,11,0%,4.82
Estonia,0,11,0%,5.55
Japan,0,11,0%,5.82
Portugal,0,11,0%,8.64
Bulgaria,0,11,0%,13.27
Turkey,0,9,0%,4.56
Belgium,0,9,0%,7.56
Thailand,0,9,0%,10.33
Dominican Republic,0,9,0%,13.56
United Arab Emirates,0,8,0%,8
Belize,0,8,0%,9.12
Hong Kong,0,8,0%,10.25
Bangladesh,0,8,0%,11.38
Switzerland,0,7,0%,6.14
Austria,0,7,0%,7.43
Morocco,0,6,0%,3.83
Saudi Arabia,0,6,0%,10.83
Ireland,0,6,0%,11.17
Ecuador,0,6,0%,12.5
Denmark,0,6,0%,12.83
Finland,0,5,0%,4.2
Belarus,0,5,0%,4.4
Peru,0,5,0%,5.2
Czechia,0,5,0%,6.2
Romania,0,5,0%,6.2
Jamaica,0,5,0%,7
Nicaragua,0,5,0%,7.2
Sweden,0,5,0%,19.8
Cameroon,0,4,0%,5.5
Algeria,0,4,0%,5.5
Iran,0,4,0%,5.5
Taiwan,0,4,0%,5.5
Georgia,0,4,0%,6.25
Ethiopia,0,4,0%,7.25
Kenya,0,4,0%,8.5
Uruguay,0,4,0%,8.5
Iraq,0,4,0%,12
Egypt,0,4,0%,13.5
Nepal,0,3,0%,3.33
Ghana,0,3,0%,3.67
Guyana,0,3,0%,3.67
Costa Rica,0,3,0%,4
Honduras,0,3,0%,4
Norway,0,3,0%,5.67
Chile,0,3,0%,6
Puerto Rico,0,3,0%,7
Cyprus,0,3,0%,7.67
El Salvador,0,3,0%,9.33
Jordan,0,3,0%,10
New Zealand,0,3,0%,10.67
Uzbekistan,0,2,0%,1
Paraguay,0,2,0%,3
Trinidad & Tobago,0,2,0%,3
Croatia,0,2,0%,3.5
Singapore,0,2,0%,4
Guatemala,0,2,0%,4.5
Panama,0,2,0%,4.5
Slovakia,0,2,0%,4.5
Unknown Region,0,2,0%,4.5
Barbados,0,2,0%,5.5
Lithuania,0,2,0%,5.5
Oman,0,2,0%,5.5
Serbia,0,2,0%,6.5
Israel,0,2,0%,7
Moldova,0,2,0%,7
Cayman Islands,0,2,0%,8
Northern Mariana Islands,0,2,0%,10
Qatar,0,2,0%,10.5
Tanzania,0,2,0%,17
Hungary,0,2,0%,20.5
Kazakhstan,0,1,0%,1
Yemen,0,1,0%,2
Bosnia & Herzegovina,0,1,0%,3
Azerbaijan,0,1,0%,5
Burkina Faso,0,1,0%,5
Benin,0,1,0%,6
Mauritius,0,1,0%,6
Palestine,0,1,0%,7
Albania,0,1,0%,8
Bahamas,0,1,0%,8
Laos,0,1,0%,8
Greece,0,1,0%,9
Lebanon,0,1,0%,9
Slovenia,0,1,0%,9
U.S. Virgin Islands,0,1,0%,9
Samoa,0,1,0%,11
Montenegro,0,1,0%,13
Latvia,0,1,0%,14
Kyrgyzstan,0,1,0%,32
