Country,Clicks,Impressions,CTR,Position
United States,109,23542,0.46%,8.76
India,5,83,6.02%,10.96
Mexico,1,59,1.69%,6.63
Philippines,1,25,4%,8.84
Nigeria,1,9,11.11%,3.56
Canada,0,110,0%,6.93
France,0,89,0%,6.16
United Kingdom,0,83,0%,11.04
Brazil,0,66,0%,5.09
Germany,0,65,0%,6.05
Spain,0,29,0%,7.66
Colombia,0,28,0%,5.18
Pakistan,0,28,0%,6.79
Italy,0,28,0%,7.32
Argentina,0,26,0%,5.96
Netherlands,0,25,0%,4.76
Vietnam,0,23,0%,7.52
South Korea,0,20,0%,9.6
Russia,0,19,0%,10.53
Poland,0,18,0%,6.89
Australia,0,16,0%,7.31
Indonesia,0,13,0%,10.31
Ukraine,0,12,0%,5.75
South Africa,0,12,0%,7.5
Venezuela,0,11,0%,5.18
Portugal,0,11,0%,8.64
China,0,9,0%,5.11
Belgium,0,8,0%,7.38
Estonia,0,7,0%,4.71
Turkey,0,7,0%,5.43
Austria,0,7,0%,7.43
Bulgaria,0,7,0%,7.71
Malaysia,0,7,0%,10
Japan,0,6,0%,4.33
Bangladesh,0,5,0%,6.4
Nicaragua,0,5,0%,7.2
Hong Kong,0,5,0%,10.2
Dominican Republic,0,5,0%,17
Morocco,0,4,0%,2
Switzerland,0,4,0%,4
Finland,0,4,0%,5
Cameroon,0,4,0%,5.5
Taiwan,0,4,0%,5.5
Jamaica,0,4,0%,6.25
United Arab Emirates,0,4,0%,7.25
Ethiopia,0,4,0%,7.25
Ireland,0,4,0%,7.5
Uruguay,0,4,0%,8.5
Thailand,0,4,0%,12.25
Ecuador,0,4,0%,15.5
Denmark,0,4,0%,16.75
Sweden,0,4,0%,21
Guyana,0,3,0%,3.67
Iran,0,3,0%,3.67
Honduras,0,3,0%,4
Georgia,0,3,0%,4.67
Romania,0,3,0%,5.33
Chile,0,3,0%,6
Algeria,0,3,0%,6.33
Kenya,0,3,0%,6.33
Saudi Arabia,0,3,0%,7
Uzbekistan,0,2,0%,1
Belarus,0,2,0%,2
Trinidad & Tobago,0,2,0%,3
Peru,0,2,0%,3.5
Singapore,0,2,0%,4
Guatemala,0,2,0%,4.5
Nepal,0,2,0%,4.5
Slovakia,0,2,0%,4.5
Czechia,0,2,0%,5.5
Egypt,0,2,0%,6.5
Jordan,0,2,0%,9
Northern Mariana Islands,0,2,0%,10
Qatar,0,2,0%,10.5
Iraq,0,2,0%,17
Tanzania,0,2,0%,17
Hungary,0,2,0%,20.5
Croatia,0,1,0%,1
Kazakhstan,0,1,0%,1
Lithuania,0,1,0%,1
Yemen,0,1,0%,2
Unknown Region,0,1,0%,2
Ghana,0,1,0%,3
Paraguay,0,1,0%,4
Azerbaijan,0,1,0%,5
Burkina Faso,0,1,0%,5
Benin,0,1,0%,6
Panama,0,1,0%,6
Belize,0,1,0%,7
Oman,0,1,0%,7
Palestine,0,1,0%,7
Albania,0,1,0%,8
Moldova,0,1,0%,8
Serbia,0,1,0%,8
Greece,0,1,0%,9
El Salvador,0,1,0%,9
Slovenia,0,1,0%,9
U.S. Virgin Islands,0,1,0%,9
Barbados,0,1,0%,10
Cayman Islands,0,1,0%,10
Cyprus,0,1,0%,10
Norway,0,1,0%,10
New Zealand,0,1,0%,10
Samoa,0,1,0%,11
Montenegro,0,1,0%,13
Kyrgyzstan,0,1,0%,32
