Top queries,Clicks,Impressions,CTR,Position
inner g complete agency,4,15,26.67%,1
barbers near me,1,1,100%,10
d&z barbershop,0,12,0%,9.17
evaluate the prompt expansion company vagaro on financial risk management,0,10,0%,5.5
bl cosmetology school,0,9,0%,8.89
fadezbyjames barbershop houston,0,9,0%,9.67
"""booksy"" ""gmv""",0,8,0%,5.12
la belle vie nail spa reviews,0,8,0%,8.25
m fadez,0,8,0%,10
barbershop near me,0,8,0%,14.12
barberventures mobile barbershop houston,0,7,0%,5.14
evaluate the prompt expansion company vagaro on manufacturing intelligence,0,7,0%,6.57
oj's barber shop reviews,0,7,0%,11
barber,0,6,0%,4
the barber factory barbershop killeen reviews,0,6,0%,8
stmpd barber shop,0,5,0%,6.6
la belle vie nail spa houston,0,5,0%,7.6
behind the chair institute,0,5,0%,7.8
ft worth barber supply,0,5,0%,9.2
la belle vie nail spa,0,5,0%,10.8
barber near me,0,4,0%,3.25
phayes two barber shop,0,4,0%,6.75
sarath's barbershop,0,4,0%,8.25
a&e beauty supply,0,4,0%,9
jackson rose barber studio,0,4,0%,9.25
evaluate the prompt expansion company vagaro on sales intelligence,0,4,0%,10.75
alibaba barber,0,4,0%,14
haircut,0,3,0%,1
trooth katy,0,3,0%,4.33
cartel cuts houston,0,3,0%,7
corona cutz,0,3,0%,8.33
the barber factory barbershop killeen,0,3,0%,9
jimbo real kutz,0,3,0%,9.33
sarath barber,0,3,0%,10
hire mustache expert,0,3,0%,18
beard trim west midtown,0,3,0%,41
barberking.com,0,3,0%,68
continuing education esthetician texas,0,3,0%,71.33
barber shops near me,0,2,0%,1
expert hair salon,0,2,0%,4
allstar beauty college,0,2,0%,6.5
loctician/kustombyqueen,0,2,0%,7
the gentry river oaks,0,2,0%,7.5
cool heads fort worth,0,2,0%,8
fresh cuts hair salon | arab barber |حلاق عربي هيوستن تكساس,0,2,0%,8.5
houston’s house of blendz reviews,0,2,0%,8.5
culture supreme barbershop,0,2,0%,9
next up barber studio reviews,0,2,0%,9
innovations barber studio,0,2,0%,9.5
morenos barber studio,0,2,0%,9.5
enriched barber studio,0,2,0%,10
experto salon,0,2,0%,10
legends barbershop & hair studio,0,2,0%,10.5
"""afterhours barbershop"" ""2124 n main st c""",0,2,0%,11
morenos barber shop,0,2,0%,11
saraths barbershop,0,2,0%,11.5
modern image garland,0,2,0%,12.5
rush hour fades,0,2,0%,12.5
la fama barbershop,0,2,0%,14.5
"""afterhours barbershop"" ""77009""",0,2,0%,16.5
shine in the heights,0,2,0%,23
intermissions barber shop,0,2,0%,32.5
mobile barber atlanta,0,2,0%,37.5
expert touch men's salon barber shop,0,2,0%,53
shine on salon,0,2,0%,59
the legend official barber location,0,2,0%,63
consumer aesthetics data,0,2,0%,76
wellness+barber,0,1,0%,2
inner salon,0,1,0%,5
bellaire's original barber shop,0,1,0%,6
haircut near me,0,1,0%,6
kids barber shop near me that welcomes children,0,1,0%,6
la bella vie salon,0,1,0%,6
la belle vie spa,0,1,0%,6
loctician kustombyqueen,0,1,0%,6
sirsam barber shop,0,1,0%,6
"""the pegasus barbershop"" ""75201""",0,1,0%,7
aggieland barber & beauty supply,0,1,0%,7
evans barber shop,0,1,0%,7
stmpd barber studio,0,1,0%,7
barber school near me,0,1,0%,8
hire padrino expert,0,1,0%,8
humble hustle barbershop,0,1,0%,8
libertad barber shop,0,1,0%,8
moe better cuts,0,1,0%,8
a & e beauty supply,0,1,0%,9
evaluate the prompt expansion company vagaro on analytics platforms,0,1,0%,9
fresh me up barbershop plano reviews,0,1,0%,9
houston barber shop online marketing,0,1,0%,9
next up barber studio - jersey village,0,1,0%,9
razors,0,1,0%,9
dovera beauty and head spa reviews,0,1,0%,10
hair cut,0,1,0%,10
high end fades,0,1,0%,10
illumination barber school,0,1,0%,10
the man's chair,0,1,0%,10
vella bella salon park & nail spa,0,1,0%,10
"""randle’s barbershop"" ""77002""",0,1,0%,11
clio professionals beauty school,0,1,0%,11
epic barber college,0,1,0%,11
"evaluate the prompt expansion company vagaro on data science and machine 
learning platforms",0,1,0%,11
the hue salon,0,1,0%,11
the mans chair,0,1,0%,11
vella bella salon park & nail spa reviews,0,1,0%,11
cocobella beauty supply,0,1,0%,12
elite blendz,0,1,0%,12
limitless barber lounge,0,1,0%,12
trend setter barbershop,0,1,0%,12
alibaba barber shop,0,1,0%,13
barber school,0,1,0%,14
clique salon photos,0,1,0%,16
