PlaceID,BusinessName,FormattedAddress,CityHub,Telephone,Website,Latitude,Longitude,Rating,TotalReviews,PlaceTypes,BusinessStatus
"ChIJIYZ6mme_QIYRtJiF8jeqApY","ORTAHAUS Barber Co.","920 Studemont St ste 600, Houston, TX 77007, USA","Houston","(832) 649-7646","http://www.ortahaus.com/","29.767501199999998","-95.3916785","4.9","892","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJCT4geZzBQIYRxcmROptnKMo","007 Barbershop","5801 Memorial Dr Suite B, Houston, TX 77007, USA","Houston","(713) 953-7777","https://007-barbershop.com/","29.760936699999995","-95.4204242","4.9","1112","barber_shop | hair_salon | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJw_UX8_-_QIYR5txEbFo9Zfk","Sheared The Barbershop - Midtown Houston","3100 Fannin St UNIT 105, Houston, TX 77004, USA","Houston","(832) 831-9022","http://www.shearedthebarbershop.com/","29.741447100000002","-95.37620079999999","4.9","549","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJDVL8x5PAQIYRpn3DZYTRzMI","Cozy Barbershop","2814 S Shepherd Dr unit c, Houston, TX 77098, USA","Houston","(832) 684-9699","https://cozybarbershop.com/","29.740093199999997","-95.41094419999999","4.9","1097","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJty5kxBy_QIYR7yXC9-8Y32Y","Golden Edge Barbershop","2100 Travis St Unit 170, Houston, TX 77002, USA","Houston","(346) 632-1635","https://www.vagaro.com/goldenedgebarbershop1","29.748804599999996","-95.37291019999999","4.9","400","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJ_0Z6MVO_QIYRtTqN7hhyCrI","Smokin’ Mirrors Barbershop","1617 Westheimer Rd, Houston, TX 77006, USA","Houston","(832) 461-6541","https://getsquire.com/booking/book/smokin-mirrors-barbershop-houston","29.7425548","-95.4001112","4.9","337","barber_shop | hair_salon | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJhUFxZoLJQIYRCSOwfeWzcME","Fade Da Nawf","8300 Antoine Dr Suite E, Houston, TX 77088, USA","Houston","(832) 979-2712","https://haircuthouston.com/","29.8898288","-95.4772428","5","1359","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJIX2SYf23QIYRP2gCBncn4ww","KBG Barbershop","519 N Sam Houston Pkwy E Building 519, 3rd floor, Room, #355, Houston, TX 77060, USA","Houston","(713) 592-1685","http://kutzbygibson.booksy.com/","29.941674400000004","-95.39127769999999","4.9","430","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJaWxFp7q5QIYRKirUF8d7eeM","Jay’s Barbershop & Shave Parlor","3415 Oak Forest Dr # A, Houston, TX 77018, USA","Houston","(832) 767-0754","https://shops.getsquire.com/book/jays-barbershop-and-shave-parlor-houston/professional","29.818198300000002","-95.4366419","5","852","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJbUiwSRbDQIYRvjJ-j3kTGMk","Smashing The City Barbershop","8150 Southwest Fwy Suite H, Houston, TX 77074, USA","Houston","(713) 636-3057","http://www.smashingthecity.com/","29.690818","-95.52967459999999","4.9","364","barber_shop | hair_salon | massage_spa | spa | hair_care | beauty_salon | massage | health | educational_institution | point_of_interest | service | establishment","OPERATIONAL"
"ChIJkwMfk5LnQIYR6NsPRxRhwuw","Best Barbershop","11246 S Wilcrest Dr Suite 180, Houston, TX 77099, USA","Houston","(346) 678-9654","http://www.bestbarbershoptx.com/","29.658348800000002","-95.5707389","4.7","211","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJd0dFvWS_QIYRIvs2IL7BCs4","The Argyle League","709 W Alabama St, Houston, TX 77006, USA","Houston","(713) 702-1026","http://theargyleleague.com/","29.738660600000003","-95.388324","4.8","481","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJ9S3WrSvdQIYR31tpOt9sYRM","Elegant Fade Barbershop","1454 Wilcrest Dr, Houston, TX 77042, USA","Houston","(832) 618-6438","N/A","29.749306599999997","-95.5726037","4.8","277","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJQ8YsD1q_QIYR7v6oWVpyPbM","Cut and Pride Barbershop","101 Crawford st, 1600 Commerce St, Houston, TX 77002, USA","Houston","(713) 545-4170","https://cutandpride.setmore.com/","29.760246399999996","-95.35405569999999","5","92","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJudy17v6_QIYRsi2BTOUjLdA","A1 Fadez","5221 Almeda Rd, Houston, TX 77004, USA","Houston","(225) 287-2733","https://houstonmenshaircut.com/","29.722278000000003","-95.37867","4.9","82","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJBxosMDjDQIYRMxeDXOgj4gU","Made Men - Barber, Hair Salon & Design Cuts","5909 Westheimer Rd, Houston, TX 77057, USA","Houston","(832) 276-5782","http://mademenstudio.com/?utm_campaign=gmb","29.7374874","-95.4854467","4.8","805","barber_shop | hair_salon | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJ7cpfErzAQIYRdH3xszwLLqQ","V's Barbershop - Houston River Oaks","2040 W Gray St Suite 145, Houston, TX 77019, USA","Houston","(713) 527-4442","N/A","29.753597199999994","-95.41027720000001","4.7","771","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJUa1o1YvGQIYRYoIZzDyrfm4","Empire Barber Studio","10515 Northwest Fwy, Houston, TX 77092, USA","Houston","(713) 865-2011","http://www.empirebarberstudio.com/","29.81225","-95.46209549999999","5","184","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJE4Vv5665QIYRyF9AVQyw4rM","Scissors & Scotch","2799 Katy Fwy Suite 220, Houston, TX 77007, USA","Houston","(281) 864-0500","https://scissorsscotch.com/locations/tx/houston/houston-heights/","29.774952199999994","-95.3885061","4.8","731","barber_shop | hair_salon | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJhQUR69zDQIYR_5lfF7Bv6bg","Elite Barbershop | حلاق عربي هيوستن","3330 Hillcroft St Suite F, Houston, TX 77057, USA","Houston","(281) 974-1769","https://elitebarbershophtx.com/","29.728631600000003","-95.5017652","4.9","498","barber_shop | hair_care | health | point_of_interest | service | establishment","OPERATIONAL"
"ChIJc1KDcAKfToYRjZDg7ks3R_4","HQ Barbershop","3527 Oak Lawn Ave, Dallas, TX 75219, USA","Dallas","(214) 741-1744","https://thehqbarbershop.com/","32.8126822","-96.8051124","5","363","barber_shop | hair_care | health | service | point_of_interest | establishment","OPERATIONAL"
"ChIJqaxjL9whTIYRw8tJoZYkgCw","Premier Barber Lounge","7995 LBL Freeway UNIT 103, Dallas, TX 75251, USA","Dallas","(214) 484-2401","https://thepremierbarberlounge.com/","32.9256241","-96.7700024","5","325","barber_shop | hair_care | health | service | point_of_interest | establishment","OPERATIONAL"
"ChIJA5S-SYCfToYRskQNhCHO0ac","Kutinfed Barbershop","6514 Skillman St, Dallas, TX 75231, USA","Dallas","(214) 517-8741","http://kutinfed.com/","32.8651902","-96.7423603","4.8","812","barber_shop | hair_care | health | service | point_of_interest | establishment","OPERATIONAL"
"ChIJzQUclbiYToYRg81CYak4QAM","Dallas Fades Barbershop","124 N Peak St, Dallas, TX 75226, USA","Dallas","(972) 807-2072","http://www.dallasfadesofficial.com/","32.790711","-96.769492","4.5","451","barber_shop | hair_salon | hair_care | health | service | point_of_interest | establishment","OPERATIONAL"
"ChIJK-yURxyfToYRn6WLcv_pJoY","Virtus Barber and Co","6224 La Vista Dr, Dallas, TX 75214, USA","Dallas","(972) 803-6135","http://virtusbarber.com/?utm_source=gmb&utm_medium=organic","32.8124373","-96.75592619999999","5","469","barber_shop | hair_care | health | service | point_of_interest | establishment","OPERATIONAL"
"ChIJF5N-mueJxIkRdLnULZa-I-w","Fine Lines Barber","407 N Lamar St, Dallas, TX 75202, USA","Dallas","(484) 744-7381","https://www.finelinesbarber.com/","32.7815881","-96.8051704","5","153","barber_shop | hair_care | health | service | point_of_interest | establishment","OPERATIONAL"
"ChIJQ--kVnaZToYRKYAngiwIv9w","JMajor Cutz & Mobile Barber","4100 Commerce St Unit #4, Dallas, TX 75226, USA","Dallas","(214) 756-0299","https://squareup.com/appointments/book/tso4dokgq41rm5/L9BPFGEK3DPY5/services?fbclid=PAAabLOxftxUCBVrwpUgoEEWx-7ajxRjEtR6LA0343hxoPFd0y6vtixesnzZc_aem_AV0OZafV4k-DYYlF7Tp5M6GP60gwISdhjd3N4FxtQp8H9jBrvZZGTdLdPgW7WnENqeo","32.7835259","-96.7680072","4.9","509","barber_shop | hair_care | health | service | point_of_interest | establishment","OPERATIONAL"
"ChIJczM3TVyfToYRKw1YXd5BepQ","Barber & Stylist- Modern Image, Dallas Tx","4407 Belmont Ave, Dallas, TX 75204, USA","Dallas","(469) 432-0286","https://modernimageco.com/pages/dallas-location","32.808943899999996","-96.7887287","5","216","barber_shop | hair_care | health | service | point_of_interest | establishment","OPERATIONAL"
"ChIJ87PatxGZToYR3jsRR4WxWPQ","Sir Sweeney Barbershop & Lounge","2426 Victory Park Ln, Dallas, TX 75219, USA","Dallas","(214) 814-7666","https://sirsweeney.com/","32.788404299999996","-96.80921320000002","4.9","134","barber_shop | hair_care | health | service | point_of_interest | establishment","OPERATIONAL"
"ChIJ14XI7IIfTIYRK4A_C89BRVA","BLADE 21 BARBERSHOP + SALON","12101 Greenville Ave Suite 108, Dallas, TX 75243, USA","Dallas","(214) 258-5891","N/A","32.9131565","-96.7461599","4.9","427","barber_shop | hair_salon | hair_care | health | service | point_of_interest | establishment","OPERATIONAL"
