School,Contact,City,Status
Academy of Hair Design,Carroll Lewing,"Lufkin, TX",Accredited
American Laser & Aesthetics Institute,Youn Park,"San Antonio, TX",Accredited
Avenue Five Institute,Brandon Martin,"Austin, TX",Accredited
Avenue Five Institute,Brandon Martin,"Austin, TX",Additional Location Accreditation
Bella Cosmetology and Barber College,Sharon Eitelman,"Greenville, TX",Accredited
Brighton Barber Institute,Heather Schultz,"Hurst, TX",Accredited
Central Texas Beauty College,Jennifer Painter-Beillon,"Temple, TX",Additional Location Accreditation
Central Texas Beauty College 2,Jennifer Painter-Beillon,"Round Rock, TX",Accredited
Cosmetology Academy of Texarkana,Peggy Smith,"Texarkana, TX",Accredited
G.A. Beauty & Barber School,Guadalupe Rayon,"McAllen, TX",Accredited
Graham's Barber College,Carol Frasure,"Dallas, TX",Accredited
Houston Barber School,Jessica Breda,"Houston, TX",Accredited
Houston Barber School,Jessica Breda,"Houston, TX",Additional Location Accreditation
Houston Barber School,Jessica Breda,"Houston, TX",Additional Location Accreditation
Houston Barber School,Jessica Breda,"Humble, TX",Additional Location Accreditation
Instituto de Belleza y Arte Barbering,Leticia Clavijo,"McAllen, TX",Accredited
Mei Barber School,Martin Paredes,"Brownsville, TX",Accredited
Michael's Barber & Hair Stylist Academy,Janet Brown,"Irving, TX",Accredited
Mid Cities Barber College,Ramiro Cano,"Grand Prairie, TX",Accredited
Milan Institute of Cosmetology,Gary Yasuda,"San Antonio, TX",Additional Location Accreditation
Milan Institute of Cosmetology,Gary Yasuda,"El Paso, TX",Additional Location Accreditation
Milan Institute of Cosmetology,Gary Yasuda,"Plano, TX",Provisional Additional Location Accreditation
Milan Institute of Cosmetology,Gary Yasuda,"Denton, TX",Provisional Additional Location Accreditation
Milan Institute of Cosmetology,Gary Yasuda,"El Paso, TX",Provisional Additional Location Accreditation
Mission Beauty Institute,Mong Cam Huynh,"Mission, TX",Accredited
Modern Barber & Beauty Institute,Ramsey De La Cruz,"College Station, TX",Accredited
Natural Images Beauty College,Tamera Davenport,"Clute, TX",Accreditation on Probation
NeeCee's Barber College,Joyce Ayers,"Abilene, TX",Accredited
New Image Beauty and Barber School,Erlinda Campos,"Harlingen, TX",Accredited
Ogle School Hair Skin Nails,John Blair,"Denton, TX",Additional Location Accreditation
Ogle School Hair Skin Nails,John Blair,"Arlington, TX",Accredited
Paul Mitchell The School Austin,Lori Noble,"Austin, TX",Accredited
Premier Barber School,Antoinette Williams,"Houston, TX",Accredited
Quality Barber College,Monica Freeman,"Houston, TX",Accredited
Riverside Barber & Beauty Institute,Alexander Alvarado,"Fort Worth, TX",Accredited
South Post Oak Barber College,Charles Ahaiwe,"Houston, TX",Accredited
The Professional Cosmetology Academy,Adam Chavana,"Laredo, TX",Accredited
The Strand Institute of Beauty & Esthetics,Bobbi Wagoner,"Corpus Christi, TX",Accredited
Total Transformation Institute of Cosmetology,Krishna George,"San Marcos, TX",Accredited
UCAS University of Cosmetology Arts & Sciences,Lucinda Leyva,"San Antonio, TX",Accredited
UCAS University of Cosmetology Arts & Sciences,Cindy Leyva,"San Antonio, TX",Accredited
Victoria Beauty & Barber College,Rhonda Floyd,"Victoria, TX",Accredited
Wade Gordon Hairdressing Academy,Sylvia Rodriguez,"Amarillo, TX",Accredited
Wade Gordon Hairdressing Academy,Sylvia Rodriguez,"Lubbock, TX",Additional Location Accreditation
Yahweh Beauty Academy,Tammie Riley,"Killeen, TX",Accredited
