"LICENSE TYPE","LICENSE NUMBER","LICENSE EXPIRATION DATE","COUNTY","NAME","MAILING ADDRESS LINE1","MAILING ADDRESS LINE2","MAILING ADDRESS CITY, STATE ZIP","PHONE NUMBER","BUSINESS NAME","BUSINESS ADDRESS-LINE1","BUSINESS ADDRESS-LINE2","BUSINESS CITY, STATE ZIP","BUSINESS COUNTY CODE","BUSINESS COUNTY","BUSINESS ZIP","BUSINESS PHONE","LICENSE SUBTYPE","CONTINUING EDUCATION FLAG","Same Address or not","Business Address that mentions BOX","Mailing address that mentions BOX","Phone-same or not"
"Barber School",10, 09/01/2025,"EL PASO","EL PIPO BARBER SCHOOL","1012 N RAYNOR ST","","EL PASO TX 79903-2512","","EL PIPO BARBER SCHOOL","1012 N RAYNOR","","EL PASO TX 79903","0141","EL PASO","79903","9155624069","PS","N","not the same",0,0,""
"Barber School",13, 12/01/2025,"NUECES","HAIR EXPRESSIONS BARBER SCHOOL LLC","4027 AYERS ST","","CORPUS CHRISTI TX 78415-4641","","HAIR EXPRESSIONS BARBER SCHOOL LLC","4027 AYERS","","CORPUS CHRISTI TX 78416","0355","NUECES","78416","3612251041","PS","N","not the same",0,0,""
"Barber School",15, 12/01/2025,"HARRIS","JAYS TECHNICAL INSTITUTE INC","11910 FONDREN MEADOW DR","","HOUSTON TX 77071-3276","","JAYS TECHNICAL INSTITUTE INC","7765 9TH AVE STE M","","PORT ARTHUR TX 77642-6908","0245","JEFFERSON","77642","4095198010","PS","N","not the same",0,0,""
"Barber School",17, 10/09/2025,"LUBBOCK","LUBBOCK HAIR ACADEMY","2844 34TH ST","","LUBBOCK TX 79410-3524","","LUBBOCK HAIR ACADEMY","2844 34TH STREET","","LUBBOCK TX 79410","0303","LUBBOCK","79410","8067013945","PS","N","not the same",0,0,""
"Barber School",19, 12/01/2025,"HARRIS","MODERN BARBER COLLEGE","2401 FANNIN ST","","HOUSTON TX 77002-9113","","MODERN BARBER COLLEGE","2401 FANNIN ST","","HOUSTON TX 77002","0201","HARRIS","77002","7135200855","PS","N","Same address",0,0,""
"Barber School",21, 08/09/2025,"BELL","OG'S SCHOOL OF HAIR DESIGN","2501 S W S YOUNG DR STE 302","","KILLEEN TX 76542-2005","","OG'S SCHOOL OF HAIR DESIGN","2501 SOUTH W S YOUNG DR #302","","KILLEEN TX 76541","0027","BELL","76541","2545264339","PS","N","not the same",0,0,""
"Barber School",31, 12/01/2025,"HARRIS","TREND BARBER COLLEGE","8250 W BELLFORT BLVD","","HOUSTON TX 77071-2202","","TREND BARBER COLLEGE","8250 W BELLFORT BLVD","","HOUSTON TX 77071-2202","0201","HARRIS","77071","7137210000","PS","N","Same address",0,0,""
"Barber School",32, 12/01/2025,"TARRANT","WILLIAMS BARBER COLLEGE","1251 EVANS AVE","","FORT WORTH TX 76104-5152","","WILLIAMS BARBER COLLEGE","1251 EVANS AVENUE","","FORT  WORTH TX 76104","0439","TARRANT","76104","8173359681","PS","N","not the same",0,0,""
"Barber School",103, 12/01/2025,"HARRIS","TREND BARBER COLLEGE INC","14806 ELLA BLVD","","HOUSTON TX 77090","","TREND BARBER COLLEGE INC","14806 ELLA BLVD","","HOUSTON TX 77090","0201","HARRIS","77090","2814408383","PS","N","Same address",0,0,""
"Barber School",104, 12/01/2025,"HARRIS","MESA BARBER SCHOOL","8523 MESA DR","","HOUSTON TX 77028-2006","","MESA BARBER SCHOOL","8523 MESA DR","","HOUSTON TX 77028-2006","0201","HARRIS","77028","7134910290","PS","N","Same address",0,0,""
