outcome,name,city,table,detail
"published","Hinton Barber and Beauty College","Sacramento","agent_barber_school_leads",""
"published","Ivy League Barber Academy","San Diego","agent_barber_school_leads",""
"published","Lu Ross Academy, Barber School","Oxnard","agent_barber_school_leads",""
"published","Moler Barber and Cosmetology College","San Francisco","agent_barber_school_leads",""
"published","Above The Rest Barbering and Cosmetology Apprenticeship Academy","Fontana","agent_cosmetology_school_leads",""
"published","Advance Beauty College","Long Beach","agent_cosmetology_school_leads",""
"published","All About Me Cosmetics Makeup Academy","Lancaster","agent_cosmetology_school_leads",""
"published","American Beauty College","Lancaster","agent_cosmetology_school_leads",""
"published","American Beauty College","Ontario","agent_cosmetology_school_leads",""
"published","Aviara Beauty Academy - Lash Training & Certification","San Diego","agent_cosmetology_school_leads",""
"published","Bridges Beauty College","Rancho Cucamonga","agent_cosmetology_school_leads",""
"published","Castelo's Apprenticeship Academy","Salinas","agent_cosmetology_school_leads",""
"published","D'Legacy Barbershop & Apprenticeships","Rancho Cucamonga","agent_cosmetology_school_leads",""
"published","Education LXS","Bakersfield","agent_cosmetology_school_leads",""
"published","Evolution Beauty Academy Inc.","Riverside","agent_cosmetology_school_leads",""
"published","EZ Barber & Cosmetology School","San Bernardino","agent_cosmetology_school_leads",""
"published","Federico Beauty Institute","Sacramento","agent_cosmetology_school_leads",""
"published","Fremont Beauty College","San Jose","agent_cosmetology_school_leads",""
"published","Get Faded Barber and Beauty College","Bakersfield","agent_cosmetology_school_leads",""
"published","Gladglam Makeup Academy LLC","Santa Ana","agent_cosmetology_school_leads",""
"published","Glamour Academy - Microblading Ombré Training 15% off Monday & Tuesday","Riverside","agent_cosmetology_school_leads",""
"published","Grand Beauty","Ontario","agent_cosmetology_school_leads",""
"published","Hierarch Academy","Santa Ana","agent_cosmetology_school_leads",""
"published","Hoss Lee Academy","Sacramento","agent_cosmetology_school_leads",""
"published","Indulge Beauty Evolution Academy","Santa Rosa","agent_cosmetology_school_leads",""
"published","Inspire Academy of Barbering and Cosmetology","Stockton","agent_cosmetology_school_leads",""
"published","International Academy of Cosmetology","Irvine","agent_cosmetology_school_leads",""
"published","International Beauty Academy","Modesto","agent_cosmetology_school_leads",""
"published","International Beauty College","San Francisco","agent_cosmetology_school_leads",""
"published","International College Of Cosmetology","Oakland","agent_cosmetology_school_leads",""
"published","IVUS Beauty Salon & Academy","Huntington Beach","agent_cosmetology_school_leads",""
"published","JA School of Hairdressing","Riverside","agent_cosmetology_school_leads",""
"published","Jade Beauty & Barber College","San Jose","agent_cosmetology_school_leads",""
"published","JANNAT BEAUTY TRAINING ACADEMY","Riverside","agent_cosmetology_school_leads",""
"published","JLC Beauty School","Rancho Cucamonga","agent_cosmetology_school_leads",""
"published","KC Beauty Academy (Beauty School)","Long Beach","agent_cosmetology_school_leads",""
"published","KS INTERNATIONAL BEAUTY ACADEMY","Anaheim","agent_cosmetology_school_leads",""
"published","Kz Academy","San Jose","agent_cosmetology_school_leads",""
"published","L'Brows Beauty Academy","Santa Ana","agent_cosmetology_school_leads",""
"published","Lyles Colleges of Beauty","Bakersfield","agent_cosmetology_school_leads",""
"published","Lytle's Beauty College","Santa Rosa","agent_cosmetology_school_leads",""
"published","MACTI Academy","Irvine","agent_cosmetology_school_leads",""
"published","MBLLA Lash Training Specialty Academy","Santa Clarita","agent_cosmetology_school_leads",""
"published","Method Makeup Academy","Sacramento","agent_cosmetology_school_leads",""
