license_type,match_confidence,school_type,source_school_name,source_city,pass_count,fail_count,test_takers,pass_rate,program_path
"barber","exact","barber","FERNANDEZ BARBER COLLEGE","FRESNO",2,9,11,0.1818,school
"barber","unmatched","","FREDRICK & CHARLES BEAUTY COLLEGE","EUREKA",2,0,2,1,school
"barber","exact","cosmetology","GET FADED BARBER AND BEAUTY COLLEGE","BAKERSFIELD",2,4,6,0.3333,school
"barber","unmatched","","HACIENDA LA PUENTE ADULT EDUCATION, COSM","LA PUENTE",3,1,4,0.75,school
"barber","unmatched","","HINTON BARBER AND BEAUTY COLLEGE","VALLEJO",1,1,2,0.5,school
"barber","fuzzy","cosmetology","INSPIRE ACADEMY OF BARBERING AND COSMETO","STOCKTON",1,0,1,1,school
"barber","unmatched","","INSTITUTE OF BEAUTY CULTURE","SANTA MARIA",1,0,1,1,school
"barber","unmatched","","INTERNATIONAL ACADEMY OF COSMETOLOGY","ALHAMBRA",1,0,1,1,school
"barber","unmatched","","INTERNATIONAL ACADEMY OF COSMETOLOGY","SOUTH GATE",4,6,10,0.4,school
"barber","unmatched","","INTERNATIONAL SCHOOL OF BEAUTY","PALM DESERT",2,0,2,1,school
"barber","unmatched","","IVY LEAGUE BARBER ACADEMY","LAKE ELSINORE",3,0,3,1,school
"barber","unmatched","","IVY LEAGUE BARBER ACADEMY","SAN MARCOS",3,2,5,0.6,school
"barber","unmatched","","JA SCHOOL OF HAIRDRESSING","CORONA",0,1,1,0,school
"barber","unmatched","","JAMA'S BEAUTY & BARBER COLLEGE","WEST HILLS",1,0,1,1,school
"barber","exact","cosmetology","JASMINE BEAUTY SCHOOL","SAN DIEGO",2,1,3,0.6667,school
"barber","unmatched","","JOHN WESLEY INTERNATIONAL BARBER AND BEAUTY COLLEGE","LONG BEACH",1,1,2,0.5,school
"barber","unmatched","","KATIE SKILLS CENTER","OAKLAND",0,1,1,0,school
"barber","unmatched","","KZ ACADEMY","MILPITAS",2,1,3,0.6667,school
"barber","unmatched","","LANCASTER BEAUTY SCHOOL","LANCASTER",2,3,5,0.4,school
"barber","unmatched","","LAWRENCE & COMPANY COLLEGE OF COSMETOLOGY","HANFORD",2,0,2,1,school
"barber","unmatched","","LEARNING INSTITUTE OF SOUTHERN CALIFORNI","EL CENTRO",3,1,4,0.75,school
"barber","fuzzy","barber","LETTY'S BARBERING AND COSMETOLOGY COLLEG","LOS ANGELES",3,4,7,0.4286,school
"barber","exact","cosmetology","LOS ANGELES COLLEGE OF AESTHETICS","LOS ANGELES",4,2,6,0.6667,school
"barber","unmatched","","LOS ANGELES TRADE TECHNICAL COLLEGE","LOS ANGELES",8,1,9,0.8889,school
"barber","unmatched","","LU ROSS ACADEMY","VENTURA",7,2,9,0.7778,school
"barber","unmatched","","MASTER ACADEMY","LONG BEACH",3,4,7,0.4286,school
"barber","unmatched","","MASTER ACADEMY","NORWALK",7,1,8,0.875,school
"barber","unmatched","","MASTER BARBERING ACADEMY","LONG BEACH",1,0,1,1,school
"barber","unmatched","","MILAN INSTITUTE","BAKERSFIELD",1,2,3,0.3333,school
"barber","unmatched","","MILAN INSTITUTE","CLOVIS",8,3,11,0.7273,school
"barber","unmatched","","MILAN INSTITUTE","MERCED",2,4,6,0.3333,school
"barber","unmatched","","MILAN INSTITUTE","PALM DESERT",3,2,5,0.6,school
"barber","unmatched","","MILAN INSTITUTE","VISALIA",5,4,9,0.5556,school
"barber","unmatched","","MILAN INSTITUTE OF COSMETOLOGY","VACAVILLE",3,2,5,0.6,school
"barber","exact","cosmetology","MIXED INSTITUTE OF COSMETOLOGY & BARBER","SACRAMENTO",12,1,13,0.9231,school
"barber","unmatched","","MJ BARBER & BEAUTY ACADEMY","HEMET",6,4,10,0.6,school
"barber","unmatched","","MJ BARBER & BEAUTY ACADEMY","LA QUINTA",1,3,4,0.25,school
"barber","exact","cosmetology","MODERN BEAUTY ACADEMY","OXNARD",2,5,7,0.2857,school
"barber","unmatched","","MOLER BARBER COLLEGE","HAYWARD",4,5,9,0.4444,school
"barber","exact","barber","MOLER BARBER COLLEGE","OAKLAND",2,1,3,0.6667,school
"barber","unmatched","","MOLER BARBER COLLEGE","SAN PABLO",0,1,1,0,school
"barber","unmatched","","MY BEAUTY & BARBER COLLEGE","SACRAMENTO",1,0,1,1,school
"barber","exact","cosmetology","MY-LE'S BEAUTY COLLEGE","SACRAMENTO",0,1,1,0,school
"barber","unmatched","","NEWBERRY SCHOOL OF BEAUTY","GRANADA HILLS",8,2,10,0.8,school
"barber","unmatched","","NORTH ADRIAN'S COLLEGE OF BEAUTY","MODESTO",0,1,1,0,school
"barber","exact","barber","OAKLAND BARBER ACADEMY","OAKLAND",1,0,1,1,school
