bucket,name,city,target_table,licenses
"pending_directive","GET FADED BARBER AND BEAUTY COLLEGE","BAKERSFIELD","","barber:2/6; esthetics:5/5; manicuring:1/1"
"pending_directive","LANCASTER BEAUTY SCHOOL","LANCASTER","","barber:2/5; cosmetology:1/2; esthetics:2/4; manicuring:2/3"
"pending_directive","MIXED INSTITUTE OF COSMETOLOGY & BARBER","SACRAMENTO","","barber:12/13; cosmetology:5/6; esthetics:3/5; manicuring:1/1"
"pending_directive","MODERN BEAUTY ACADEMY","OXNARD","","barber:2/7; cosmetology:1/4"
"pending_directive","PAUL MITCHELL THE SCHOOL FRESNO","FRESNO","","barber:3/6; cosmetology:9/21"
"pending_directive","PAUL MITCHELL THE SCHOOL MODESTO","MODESTO","","barber:1/2; cosmetology:5/8; esthetics:29/32; manicuring:4/6"
"pending_directive","PAUL MITCHELL THE SCHOOL SACRAMENTO","SACRAMENTO","","barber:8/11; cosmetology:13/26; esthetics:14/17"
"pending_directive","PAUL MITCHELL THE SCHOOL SAN DIEGO","SAN DIEGO","","barber:3/5; cosmetology:11/20; esthetics:13/15"
"pending_directive","PRECISE BARBER COLLEGE","LOS ANGELES","","barber:1/1"
"pending_directive","SALON SUCCESS ACADEMY","RIVERSIDE","","barber:5/7; cosmetology:1/2; manicuring:7/9"
"pending_directive","CEN BEAUTY ACADEMY","RIVERSIDE","","cosmetology:1/2; esthetics:1/1; manicuring:3/4"
"pending_directive","FEDERICO BEAUTY INSTITUTE","SACRAMENTO","","cosmetology:9/11; esthetics:15/18; manicuring:11/12"
"pending_directive","INTERNATIONAL BEAUTY COLLEGE","SAN FRANCISCO","","cosmetology:2/4; esthetics:0/2; manicuring:1/2"
"pending_directive","INTERNATIONAL COLLEGE OF COSMETOLOGY","OAKLAND","","cosmetology:1/1; esthetics:0/1"
"pending_directive","PAUL MITCHELL THE SCHOOL SAN JOSE","SAN JOSE","","cosmetology:2/5"
"seed","FREDRICK & CHARLES BEAUTY COLLEGE","EUREKA","agent_cosmetology_school_leads","barber:2/2; cosmetology:4/6; esthetics:2/2"
"seed","HACIENDA LA PUENTE ADULT EDUCATION, COSM","LA PUENTE","agent_cosmetology_school_leads","barber:3/4; cosmetology:4/6; esthetics:10/11; manicuring:6/7"
"seed","HINTON BARBER AND BEAUTY COLLEGE","VALLEJO","agent_barber_school_leads","barber:1/2"
"seed","INSPIRE ACADEMY OF BARBERING AND COSMETO","STOCKTON","agent_cosmetology_school_leads","barber:1/1; manicuring:3/5"
"seed","INSTITUTE OF BEAUTY CULTURE","SANTA MARIA","agent_cosmetology_school_leads","barber:1/1; cosmetology:3/4; esthetics:2/2; manicuring:1/1"
"seed","INTERNATIONAL ACADEMY OF COSMETOLOGY","ALHAMBRA","agent_cosmetology_school_leads","barber:1/1; esthetics:1/1; manicuring:1/1"
"seed","INTERNATIONAL ACADEMY OF COSMETOLOGY","SOUTH GATE","agent_cosmetology_school_leads","barber:4/10; cosmetology:5/7; esthetics:3/4"
"seed","INTERNATIONAL SCHOOL OF BEAUTY","PALM DESERT","agent_cosmetology_school_leads","barber:2/2; cosmetology:5/5; esthetics:4/4; manicuring:4/5"
"seed","IVY LEAGUE BARBER ACADEMY","LAKE ELSINORE","agent_barber_school_leads","barber:3/3"
"seed","IVY LEAGUE BARBER ACADEMY","SAN MARCOS","agent_barber_school_leads","barber:3/5"
