path,clicks,impressions,ctr,position
"/stores/shine-beauty-supply-marbach-san-antonio-da9a0305",2,2560,0.08,5.1
"/insights/opening-your-own-shop-in-texas",0,981,0.00,14.0
"/salons/the-orlando-salon-houston-89e6ef37",2,905,0.22,7.0
"/salons/hair-galleria-houston-12a8d560",0,700,0.00,9.8
"/salons/marisela-beauty-salon-houston-b7f5839e",0,624,0.00,8.9
"/salons/cutloose-houston-2482bad1",1,573,0.17,7.7
"/salons/salon-rose-houston-5ee613f1",0,526,0.00,7.1
"/stores/sams-beauty-supply-dallas-b3953e73",0,511,0.00,2.3
"/salons/david-alexander-image-studio-houston-c4eaf769",4,489,0.82,6.1
"/salons/katchdslooks-beauty-houston-c581d1e7",0,472,0.00,8.0
"/salons/k-beauty-salon-houston-2d7269cf",17,451,3.77,5.2
"/stores/supreme-hair-and-beauty-arlington-dallas-972a1245",0,427,0.00,9.0
"/salons/salon-de-belleza-mary-houston-43f780c7",0,425,0.00,6.2
"/stores/jenny-beauty-supply-westheimer-6-houston-77094-a7634b26",3,422,0.71,8.2
"/schools/aveda-arts-sciences-institute-houston-shenandoah-1294bc4e",0,403,0.00,34.9
"/stores/ulta-beauty-houston-77094-1e995268",0,401,0.00,9.9
"/salons/natural-hair-of-katy-houston-e1f5dbbc",4,399,1.00,5.9
"/salons/visible-changes-inside-memorial-city-houston-d9153d95",0,398,0.00,9.0
"/salons/22-hair-salon-houston-bfa8d24e",1,387,0.26,5.1
"/salons/the-factory-salon-the-heights-houston-2595deda",0,377,0.00,7.7
"/salons/hello-sugar-river-oaks-brazilian-wax-sugar-salon-houston-1e710284",0,371,0.00,9.3
"/salons/queen-s-beauty-salon-spa-houston-f3faf96b",0,367,0.00,7.9
"/stores/beauty-empire-houston-77099-ec7bfcd4",0,367,0.00,26.6
"/stores/beauty-depot-nail-supply-houston-77099-25d35306",0,366,0.00,8.9
"/salons/the-duchess-braids-and-beauty-salon-houston-acd67b70",0,354,0.00,8.8
"/salons/a-n-h-salon-houston-657ba0a3",5,353,1.42,4.3
"/stores/h-beauty-supply-houston-77095-a113da63",0,352,0.00,5.3
"/stores/beauty-empire-houston-77095-5d8eaaab",1,345,0.29,25.6
"/stores/beauty-empire-super-center-2-houston-77070-7739f7c3",2,336,0.60,6.2
"/stores/beauty-empire-super-center-3-houston-77084-c31bcb07",0,334,0.00,8.2
"/stores/supreme-hair-and-beauty-dallas-8a6607ca",1,332,0.30,8.7
"/salons/hart-studios-houston-3c392d32",0,323,0.00,7.9
"/stores/ebony-super-store-dallas-07cb785f",1,322,0.31,7.4
"/salons/cost-cutters-houston-ce8242a6",0,315,0.00,11.7
"/stores/hair-galleria-houston-77075-33079cc9",0,314,0.00,8.5
"/stores/sky-nail-supply-in-houston-acrylic-dipping-monomer-nail-art-accessories-houston-77014-001bcefa",2,310,0.65,6.3
"/salons/looks-salon-houston-cc8d98bf",0,309,0.00,12.6
"/stores/infinite-hair-beauty-houston-77084-21069415",0,309,0.00,8.2
"/stores/beauty-empire-houston-77099-1f74221d",0,305,0.00,29.7
"/schools/aveda-arts-sciences-institute-houston-conroe-d069cc98",0,298,0.00,37.6
"/salons/evolve-salon-houston-c36056ca",0,293,0.00,6.2
"/salons/marigold-salon-houston-ebbb950a",0,292,0.00,6.1
"/salons/saint-rose-houston-643207c4",1,290,0.34,8.7
"/shop/aliana-barbershop-sugar-land-77e23edc",1,290,0.34,9.1
"/salons/salon-1-hair-spa-houston-a84d3eff",0,288,0.00,4.2
"/salons/zeeba-salon-houston-7f7061b8",2,284,0.70,4.3
"/stores/beauty-empire-houston-77099-f95fab0d",0,284,0.00,38.5
"/stores/scissors-scotch-houston-77009-50bf0a2f",2,282,0.71,18.1
"/salons/braids-of-katy-houston-59ce62f0",1,279,0.36,3.4
"/salons/maha-s-threading-salon-1-jones-rd-houston-b65388b6",1,278,0.36,4.8
"/salons/glow-up-hair-studio-houston-e132b39e",0,276,0.00,4.8
"/salons/gio-hair-salon-houston-bc8d5997",3,274,1.09,6.1
"/salons/studio-a-salon-houston-80a13e8e",0,272,0.00,9.6
"/stores/big-joy-wigs-beauty-austin-e4616408",0,272,0.00,5.7
"/stores/miss-a-houston-77070-ac80ba8d",0,272,0.00,9.6
"/salons/hair-by-kenny-houston-35a45576",2,271,0.74,5.8
"/stores/cc-beauty-supply-1-houston-77044-4c1106b2",0,268,0.00,7.4
"/salons/iconic-nail-bar-head-spa-houston-87d72a2c",0,266,0.00,9.0
"/stores/nails-plus-nail-supply-dallas-richardson-plano-ce867ba1",0,265,0.00,2.8
"/stores/qtt-beauty-supply-houston-77062-a5af6c81",2,263,0.76,5.0
"/stores/foxx-beauty-supply-houston-77093-c3ce33c9",0,262,0.00,5.1
"/stores/sarath-s-barbershop-houston-77018-602d90b2",0,258,0.00,9.2
"/salons/ani-s-hair-salon-houston-27567d05",1,254,0.39,12.2
"/schools/all-about-beauty-academy-llc-plano-69491560",0,254,0.00,7.9
"/stores/the-vault-beauty-san-antonio-8797c2e4",1,253,0.40,6.0
"/schools/the-salon-professional-academy-whitehouse-66a6f922",0,253,0.00,9.3
"/salons/la-femme-beauty-lounge-houston-6a3409fb",1,248,0.40,6.1
