query,clicks,impressions,ctr,position,words
"natural hair of katy",3,253,1.19,4.6,4
"beauty supply near me",0,185,0.00,3.2,4
"braids of katy",1,166,0.60,1.2,3
"hair store near me",1,46,2.17,3.2,4
"hair salons near me",2,41,4.88,3.9,4
"west texas barber academy",0,40,0.00,7.5,4
"barber supply store near me",0,35,0.00,18.5,5
"barber shops near me",1,28,3.57,4.4,4
"hair salon near me",0,25,0.00,4.8,4
"barber school near me",1,23,4.35,3.8,4
"nail supply near me",1,22,4.55,1.5,4
"salons on the lake",0,22,0.00,9.0,4
"barbershop near me",0,21,0.00,7.6,3
"barber supply near me",0,20,0.00,16.2,4
"barber supply store",0,20,0.00,52.1,3
"texas beauty supply",0,20,0.00,7.6,3
"texas nail supply",0,20,0.00,1.0,3
"barber school mckinney",0,19,0.00,9.1,3
"top barber academy",0,19,0.00,8.2,3
"texas cosmetology license",0,15,0.00,34.7,3
"the hair academy",0,15,0.00,4.3,3
"barbers on the lake",0,14,0.00,8.1,4
"beauty schools sugar land",0,14,0.00,13.4,4
"esthetician school in amarillo",0,14,0.00,31.6,4
"hair city beauty supply",0,14,0.00,7.2,4
"haircut near me",0,14,0.00,7.4,3
"beauty schools in waco texas",0,13,0.00,26.1,5
"cosmetology school katy",0,13,0.00,8.4,3
"cosmetology schools in sugar land tx",0,13,0.00,13.8,6
"esthetician schools in sugar land tx",0,13,0.00,18.9,6
"hair schools in sugar land",0,13,0.00,11.3,5
"texas cosmetology license requirements",0,13,0.00,41.8,4
"barber supplies near me",0,12,0.00,40.3,4
"kids haircuts near me",0,12,0.00,19.6,4
"nail school in sugar land texas",0,12,0.00,15.2,6
"sugar land cosmetology school",0,12,0.00,10.7,4
"sugar land texas cosmetology schools",0,12,0.00,12.7,5
"cosmetology school sugar land",0,11,0.00,14.4,4
"cosmetology school sugar land texas",0,11,0.00,12.4,5
"cosmetology schools in sugar land",0,11,0.00,14.9,5
"cosmetology schools sugar land",0,11,0.00,12.5,4
"hair schools in sugar land texas",0,11,0.00,15.0,6
"nail supply store near me",0,11,0.00,4.2,5
"wigs and beauty",0,11,0.00,5.3,3
"barber college near me",0,10,0.00,5.1,4
"barber school brownsville tx",0,10,0.00,6.4,4
"barber shop near me",0,10,0.00,5.2,4
"beauty school sugar land tx",0,10,0.00,12.8,5
"beauty schools in sugar land texas",0,10,0.00,16.2,6
"beauty supply store",0,10,0.00,2.3,3
"cosmetology colleges in sugar land texas",0,10,0.00,14.3,6
"cosmetology school near me",0,10,0.00,6.6,4
"cosmetology schools in sugar land texas",0,10,0.00,13.7,6
"cosmetology schools sugar land tx",0,10,0.00,13.3,5
"esthetician school katy",0,10,0.00,19.3,3
"esthetician school sugar land texas",0,10,0.00,22.0,5
"esthetician school sugar land tx",0,10,0.00,24.7,5
"barber near me",0,9,0.00,1.3,3
"beauty school in sugar land",0,9,0.00,11.0,5
"beauty school sugar land",0,9,0.00,12.8,4
"hair stores near me",0,9,0.00,1.0,4
"nail salon near me",0,9,0.00,2.0,4
"requirements for cosmetology license in texas",0,9,0.00,40.4,6
"salon near me",0,9,0.00,2.8,3
"sugar land cosmetology schools",0,9,0.00,13.4,4
"sugar land hair school",0,9,0.00,8.2,4
"barber school rosenberg tx",0,8,0.00,7.8,4
"beauty academy sugar land",0,8,0.00,16.5,4
"la beauty nails",0,8,0.00,6.8,3
"nail supply store austin",0,8,0.00,10.8,4
"sugar land beauty school",0,8,0.00,11.3,4
"texas requirements for cosmetology license",0,8,0.00,37.9,5
"university of cosmetology",0,8,0.00,44.0,3
"barber school round rock",1,7,14.29,9.7,4
"beauty supply cypress tx",0,7,0.00,12.1,4
"beauty supply store near me",0,7,0.00,2.1,5
"cosmetology school sugar land tx",0,7,0.00,13.1,5
"nail supply store",0,7,0.00,4.0,3
"texas barber university",0,7,0.00,9.1,3
"texas beauty college",0,7,0.00,1.0,3
"the hair academy photos",0,7,0.00,5.6,4
"beauty college sugar land",0,6,0.00,14.7,4
"beauty supply spring tx",0,6,0.00,4.5,4
"irving barber shop",0,6,0.00,27.0,3
"missouri city beauty school",0,6,0.00,11.7,4
"west texas barber",0,6,0.00,7.3,3
"your hair salon",0,6,0.00,3.0,3
"beauty schools near me",0,5,0.00,1.0,4
"beauty supply atascocita",0,5,0.00,12.8,3
"beauty supply near me open now",0,5,0.00,4.2,6
"braiding shop near me",0,5,0.00,1.2,4
"cosmetology school cypress tx",0,5,0.00,10.2,4
"esthetician schools sugar land",0,5,0.00,20.8,4
"hair cut near me",0,5,0.00,1.6,4
"hair spa in katy, tx",0,5,0.00,71.8,5
"hair store pflugerville",0,5,0.00,11.4,3
"sugar land beauty schools",0,5,0.00,12.4,4
"texas college of cosmetology",0,5,0.00,11.4,4
"the beauty supply",0,5,0.00,7.0,3
"the beauty supply store",0,5,0.00,12.2,4
"barber booth rent",0,4,0.00,14.0,3
"barber supply nearby",0,4,0.00,18.8,3
