bucket,path,clicks,impressions,ctr,position
"Insight Articles (/insights/*)","/insights/opening-your-own-shop-in-texas",0,981,0.00,14.0
"School Profiles (/schools/*)","/schools/aveda-arts-sciences-institute-houston-shenandoah-1294bc4e",0,403,0.00,34.9
"School Profiles (/schools/*)","/schools/aveda-arts-sciences-institute-houston-conroe-d069cc98",0,298,0.00,37.6
"School Profiles (/schools/*)","/schools/all-about-beauty-academy-llc-plano-69491560",0,254,0.00,7.9
"School Profiles (/schools/*)","/schools/the-salon-professional-academy-whitehouse-66a6f922",0,253,0.00,9.3
"School Profiles (/schools/*)","/schools/fort-bend-tech-education-center-sugar-land-a1e3fc9a",0,241,0.00,15.7
"School Profiles (/schools/*)","/schools/heb-barber-academy-fort-worth-6ffb6238",0,233,0.00,7.0
"School Profiles (/schools/*)","/schools/aveda-arts-sciences-institute-houston-katy-9c0a2057",0,231,0.00,43.4
"School Profiles (/schools/*)","/schools/v-a-beauty-academy-llc-sherman-30ab0d17",25,208,12.02,3.6
"School Asset Pages (exam/license/tools)","/texas-barber-practical-exam-kit-list",8,206,3.88,6.4
"School Profiles (/schools/*)","/schools/eyes-on-me-advanced-barber-college-watauga-078ddd40",6,204,2.94,3.5
"School Profiles (/schools/*)","/schools/collectiv-academy-fort-worth-fea8890d",0,202,0.00,10.1
"School Profiles (/schools/*)","/schools/riva-institute-of-cosmetology-llc-weslaco-0497a759",0,195,0.00,8.4
"School Profiles (/schools/*)","/schools/arlington-beauty-college-arlington-71c8eec1",1,193,0.52,15.0
"School Profiles (/schools/*)","/schools/aveda-arts-sciences-institute-austin-austin-1f687500",0,186,0.00,10.7
"School Profiles (/schools/*)","/schools/ogle-school-beauty-and-cosmetology-houston-stafford-katy-5cd766c1",0,167,0.00,9.0
"School Profiles (/schools/*)","/schools/milan-institute-of-cosmetology-denton-63613bcd",0,161,0.00,9.8
"School Profiles (/schools/*)","/schools/south-plains-college-levelland-a9accca2",3,160,1.88,8.7
"School Profiles (/schools/*)","/schools/milan-institute-of-cosmetology-plano-dfc02942",0,160,0.00,10.2
"School Profiles (/schools/*)","/schools/ogle-school-beauty-and-cosmetology-north-houston-willowbrook-houston-fe676980",1,158,0.63,9.6
"School Profiles (/schools/*)","/schools/avenue-five-institute-austin-724cee6e",0,157,0.00,13.2
"School Profiles (/schools/*)","/schools/enstyle-beauty-academy-houston-05f8df2c",0,154,0.00,4.9
"School Profiles (/schools/*)","/schools/williams-barber-college-fort-worth-9254819c",0,154,0.00,8.9
"School Profiles (/schools/*)","/schools/mei-barber-school-brownsville-2c88e548",0,149,0.00,7.0
"School Profiles (/schools/*)","/schools/jackson-barber-college-houston-5de20baa",0,148,0.00,7.7
"School Profiles (/schools/*)","/schools/career-schools-of-texas-dallas-3e1e292a",0,146,0.00,8.2
"School Profiles (/schools/*)","/schools/capelli-beauty-and-barber-college-el-paso-80cbdd3b",0,144,0.00,10.6
"School Profiles (/schools/*)","/schools/the-pulse-academy-llc-pittsburg-7b841a18",0,140,0.00,5.1
"School Profiles (/schools/*)","/schools/next-top-barber-academy-laredo-3801a80e",0,138,0.00,8.4
"School Profiles (/schools/*)","/schools/the-salon-professional-academy-georgetown-9ccc3926",0,136,0.00,9.0
"School Profiles (/schools/*)","/schools/lubbock-hair-academy-lubbock-14750caf",0,134,0.00,8.8
"School Profiles (/schools/*)","/schools/william-edge-institute-new-braunfels-a0916eeb",0,134,0.00,8.7
"School Profiles (/schools/*)","/schools/versatile-barber-beauty-academy-huntsville-67d22780",0,132,0.00,9.5
"School Profiles (/schools/*)","/schools/chi-lonestar-college-houston-e0c516aa",0,130,0.00,8.3
"School Profiles (/schools/*)","/schools/epcc-cosmetology-program-salon-el-paso-5f26d2d3",5,129,3.88,9.0
"School Profiles (/schools/*)","/schools/boss-nail-academy-richardson-6f71e68a",0,127,0.00,5.4
"School Profiles (/schools/*)","/schools/ogle-school-beauty-and-cosmetology-san-antonio-san-antonio-a75d49ef",0,124,0.00,10.9
"School Profiles (/schools/*)","/schools/l-l-beauty-institute-llc-abilene-8d832db1",0,123,0.00,7.5
"School Profiles (/schools/*)","/schools/pathway-vocational-academy-lumberton-lumberton-db2b7878",0,120,0.00,8.5
"School Profiles (/schools/*)","/schools/caviar-academy-of-cosmetology-lubbock-d803123a",0,119,0.00,7.5
"School Profiles (/schools/*)","/schools/dfw-skin-institute-dallas-5a83479d",0,119,0.00,9.2
"Insight Articles (/insights/*)","/insights/booth-rent-vs-commission",0,117,0.00,12.3
"Insight Articles (/insights/*)","/insights/texas-esthetician-nail-technician-exam-guide",2,112,1.79,23.6
"School Profiles (/schools/*)","/schools/onyx-nail-institute-llc-donna-791ebe02",0,112,0.00,3.1
"School Profiles (/schools/*)","/schools/acres-homes-barber-college-houston-45b5fb33",0,108,0.00,7.6
"School Profiles (/schools/*)","/schools/mei-academy-of-cosmetology-brownsville-b55f7b6c",0,107,0.00,7.1
"Insight Articles (/insights/*)","/insights/texas-barber-cosmetology-license-requirements",0,105,0.00,23.1
"School Profiles (/schools/*)","/schools/coastal-bend-college-pleasanton-pleasanton-f4ccf06c",0,105,0.00,9.9
"School Profiles (/schools/*)","/schools/sloan-beauty-school-llc-mission-5dfe338a",0,104,0.00,8.0
"School Profiles (/schools/*)","/schools/rm-barber-cosmetology-school-llc-lockhart-138ed7be",8,103,7.77,4.4
"School Asset Pages (exam/license/tools)","/texas-cosmetology-practical-exam-kit-list",4,103,3.88,7.2
"School Profiles (/schools/*)","/schools/mod-and-black-academy-llc-odessa-85c01c07",0,102,0.00,6.5
"School Profiles (/schools/*)","/schools/nuvani-institute-del-rio-del-rio-2653ee2d",0,99,0.00,9.2
"School Profiles (/schools/*)","/schools/the-strand-institute-of-beauty-esthetics-corpus-christi-d82ac6c7",0,99,0.00,7.9
"School Profiles (/schools/*)","/schools/hair-expressions-barber-school-llc-corpus-christi-24ee5aec",0,98,0.00,10.3
"School Profiles (/schools/*)","/schools/one-le-chic-beauty-academy-houston-acc0d683",0,98,0.00,8.5
"School Profiles (/schools/*)","/schools/abesfades-barber-academy-mount-pleasant-949be3c2",0,96,0.00,6.3
"School Profiles (/schools/*)","/schools/beauty-models-school-arlington-e75668c8",1,95,1.05,5.8
"School Profiles (/schools/*)","/schools/clio-professionals-beauty-school-houston-acab1d9b",0,95,0.00,4.4
"School Profiles (/schools/*)","/schools/you-me-beauty-school-carrollton-a4e0c183",0,95,0.00,8.9
"School Profiles (/schools/*)","/schools/texas-fadez-barber-college-duncanville-c5c07247",1,94,1.06,8.6
"School Profiles (/schools/*)","/schools/bonjour-beauty-university-mesquite-14c5ad6e",0,94,0.00,6.4
"School Profiles (/schools/*)","/schools/colour-beauty-school-houston-bd9ab3b1",0,94,0.00,8.1
"School Profiles (/schools/*)","/schools/lash-boss-university-austin-3216ca01",0,92,0.00,7.7
"School Profiles (/schools/*)","/schools/legacy-beauty-academy-tomball-ee2c9843",0,92,0.00,9.3
"School Profiles (/schools/*)","/schools/united-beauty-college-carrollton-a7782570",0,92,0.00,9.5
"School Profiles (/schools/*)","/schools/ivy-beauty-institute-frisco-9e224db4",0,91,0.00,9.3
"School Profiles (/schools/*)","/schools/bloom-beauty-academy-llc-weatherford-37b6f39b",0,90,0.00,8.5
"School Profiles (/schools/*)","/schools/clarendon-college-amarillo-center-amarillo-4e5fbc81",0,89,0.00,8.8
"School Profiles (/schools/*)","/schools/vogue-college-of-cosmetology-mcallen-32e755fd",1,88,1.14,11.6
"School Profiles (/schools/*)","/schools/behind-the-chair-institute-houston-db5f1c0f",0,87,0.00,8.2
"School Profiles (/schools/*)","/schools/epic-barber-college-houston-77ef6ce8",0,87,0.00,8.6
"School Profiles (/schools/*)","/schools/ranger-college-of-cosmetology-early-173a5830",0,87,0.00,8.1
"School Profiles (/schools/*)","/schools/jays-barber-styling-llc-college-mckinney-9b96eec1",3,86,3.49,4.9
"School Profiles (/schools/*)","/schools/deluxe-barber-college-austin-6098eece",1,85,1.18,8.2
"School Profiles (/schools/*)","/schools/the-premium-barber-academy-irving-84520bd2",1,85,1.18,8.0
"School Profiles (/schools/*)","/schools/milan-institute-of-cosmetology-el-paso-e7d40fa8",0,84,0.00,10.6
"School Profiles (/schools/*)","/schools/most-high-barber-college-san-antonio-8d0e54e7",0,84,0.00,7.3
"School Profiles (/schools/*)","/schools/ucas-univ-of-cosmetology-arts-sciences-brownsville-11a99f14",0,84,0.00,11.5
"School Profiles (/schools/*)","/schools/b-l-cosmetology-school-houston-9bc19b08",0,81,0.00,9.1
"School Profiles (/schools/*)","/schools/baytown-beauty-barber-college-baytown-35f36faa",0,81,0.00,9.9
"School Profiles (/schools/*)","/schools/lamar-state-college-port-arthur-port-arthur-54b91944",2,79,2.53,8.9
"School Profiles (/schools/*)","/schools/sol-barber-styling-academy-dallas-570e1037",0,78,0.00,7.9
"School Profiles (/schools/*)","/schools/brighton-barber-institute-fort-worth-9639dabb",0,77,0.00,8.1
"School Profiles (/schools/*)","/schools/glam-beauty-academy-llc-midland-29c93f78",0,77,0.00,11.6
"School Profiles (/schools/*)","/schools/mike-s-barber-school-llc-edinburg-87a24662",0,77,0.00,8.6
"School Profiles (/schools/*)","/schools/s-j-barber-beauty-academy-seagoville-6b61cf49",0,77,0.00,6.9
"School Profiles (/schools/*)","/schools/ys-academy-cosmetology-spa-llc-mcallen-29c56023",0,77,0.00,9.7
"School Profiles (/schools/*)","/schools/bgm-science-of-beauty-and-business-llc-garland-ec8589bb",1,76,1.32,7.7
"School Profiles (/schools/*)","/schools/5-star-barber-academy-seagoville-7e7a5047",0,76,0.00,6.4
"School Profiles (/schools/*)","/schools/dooney-s-barber-beauty-academy-dallas-c7bbd7c7",0,76,0.00,9.1
"School Profiles (/schools/*)","/schools/abilene-barber-academy-abilene-5115e199",0,75,0.00,7.7
"School Profiles (/schools/*)","/schools/cultural-technical-institute-llc-cti-el-paso-4acde421",0,75,0.00,9.6
"School Profiles (/schools/*)","/schools/west-texas-barber-academy-lubbock-9e105114",0,75,0.00,8.4
"School Profiles (/schools/*)","/schools/torito-liza-beauty-academy-houston-996ca42e",4,74,5.41,4.5
"School Profiles (/schools/*)","/schools/paul-mitchell-the-school-clear-lake-webster-6b97ba1d",0,74,0.00,9.9
"School Profiles (/schools/*)","/schools/upscale-barber-academy-waxahachie-0d0892cd",4,72,5.56,8.5
"School Profiles (/schools/*)","/schools/l-makeup-institute-southlake-b957131c",1,72,1.39,15.6
"School Profiles (/schools/*)","/schools/oz-barber-and-piercing-academy-dallas-5bd68eba",2,71,2.82,7.8
"School Profiles (/schools/*)","/schools/249-beauty-college-houston-73e93b5e",0,71,0.00,8.7
"School Profiles (/schools/*)","/schools/bella-beauty-college-waco-campus-waco-cabf527f",0,71,0.00,9.6
"School Profiles (/schools/*)","/schools/mystros-barber-academy-missouri-city-0ac97d4f",0,71,0.00,8.6
"School Profiles (/schools/*)","/schools/sloan-beauty-academy-addison-27740f6c",0,71,0.00,7.0
"School Profiles (/schools/*)","/schools/texas-college-of-cosmetology-san-angelo-96c96d17",0,70,0.00,10.9
"School Profiles (/schools/*)","/schools/hollywood-beauty-school-garland-28069773",0,69,0.00,6.8
"School Profiles (/schools/*)","/schools/ann-gee-s-barber-academy-midland-ada3813a",1,68,1.47,7.9
"School Profiles (/schools/*)","/schools/eyes-on-me-advanced-barber-school-kerrvi-kerrville-9ae12879",1,68,1.47,8.5
"School Profiles (/schools/*)","/schools/mission-beauty-institute-mission-cfe71369",1,68,1.47,7.6
"School Profiles (/schools/*)","/schools/rio-men-barber-school-mcallen-609946d8",1,68,1.47,3.3
"School Profiles (/schools/*)","/schools/xtreme-beauty-academy-llc-houston-e6c541b0",1,67,1.49,6.1
"School Profiles (/schools/*)","/schools/xotic-barber-academy-austin-03acdbde",0,67,0.00,8.3
"School Profiles (/schools/*)","/schools/the-facial-wellness-society-sugar-land-fbc32fba",0,66,0.00,13.8
"School Profiles (/schools/*)","/schools/odessa-college-odessa-83edec6d",2,65,3.08,13.9
