query,clicks,impressions,ctr,position
"aveda institute",0,277,0.00,52.1
"aveda school",0,210,0.00,35.7
"all about beauty academy",0,206,0.00,7.6
"aveda cosmetology school",0,135,0.00,51.2
"aveda institute houston",0,118,0.00,8.3
"arlington beauty college",1,111,0.90,7.3
"collectiv academy fort worth",0,87,0.00,9.8
"dfw skin institute",0,84,0.00,10.3
"sloan beauty school",0,78,0.00,8.2
"le chic beauty academy",0,75,0.00,9.1
"milan institute plano",0,75,0.00,9.6
"capelli barber college",0,74,0.00,6.6
"heb barber academy",0,73,0.00,9.5
"aveda beauty school",0,70,0.00,41.9
"l&l beauty institute",0,68,0.00,6.9
"lubbock hair academy",0,68,0.00,8.9
"milan institute denton",0,66,0.00,10.5
"ogle school stafford",0,66,0.00,8.8
"williams barber college",0,66,0.00,9.5
"colour beauty school",0,63,0.00,7.4
"hair expressions barber school",0,61,0.00,8.8
"32 degrees",0,58,0.00,4.8
"coastal bend college pleasanton",0,55,0.00,9.7
"ogle school willowbrook",0,55,0.00,10.1
"vogue college of cosmetology",1,53,1.89,11.0
"enstyle beauty academy",0,52,0.00,6.4
"eyes on me barber college",1,51,1.96,4.6
"argyle league",0,51,0.00,9.2
"lash boss university",0,51,0.00,8.4
"riva cosmetology",0,51,0.00,8.3
"legacy beauty academy",0,50,0.00,9.0
"boss nail academy",0,49,0.00,6.1
"eyes on me advanced barber college",0,49,0.00,5.5
"riva institute of cosmetology",0,49,0.00,7.2
"nuvani institute",0,48,0.00,12.8
"allstar beauty college",0,47,0.00,8.0
"beauty models school",0,47,0.00,4.3
"pulse academy",0,47,0.00,4.7
"meraki institute",0,46,0.00,6.9
"most high barber college",0,46,0.00,7.5
"the salon professional academy whitehouse reviews",0,46,0.00,10.9
"glam beauty academy",0,45,0.00,12.1
"baytown beauty & barber college",0,44,0.00,8.4
"clio professionals beauty school",0,44,0.00,5.3
"william edge institute",0,44,0.00,8.2
"bonjout beauty",0,43,0.00,5.6
"brighton barber institute",0,43,0.00,7.9
"the pulse academy",0,43,0.00,4.5
"ucas brownsville",0,43,0.00,8.0
"bl cosmetology school",0,42,0.00,9.8
"collective academy fort worth",0,42,0.00,11.7
"mei barber school",0,42,0.00,6.5
"next top barber academy",0,42,0.00,7.7
"cut and shave barber college",0,40,0.00,9.4
"milan institute",0,40,0.00,8.3
"west texas barber academy",0,40,0.00,7.5
"acres homes barber college",0,39,0.00,8.2
"bronx barber college",0,39,0.00,8.0
"white elm wellness institute",0,39,0.00,8.5
"xtreme beauty academy",0,39,0.00,5.7
"epcc cosmetology",2,38,5.26,8.0
"249 beauty college",0,38,0.00,8.7
"caviar academy",0,38,0.00,7.0
"behind the chair institute",0,37,0.00,7.6
"the strand institute",0,37,0.00,6.8
"united beauty college",0,36,0.00,9.3
"boss nail academy richardson",0,35,0.00,5.3
"lush esthetics institute",0,35,0.00,10.2
"mei academy of cosmetology",0,35,0.00,8.0
"mod and black academy",0,35,0.00,5.7
"career schools of texas dallas",0,34,0.00,5.4
"school enstyle beauty academy",0,34,0.00,3.4
"tdlr exam results",0,34,0.00,59.5
"adia beauty college",0,33,0.00,7.5
"williams barber college fort worth",0,33,0.00,10.0
"abes fades",0,32,0.00,7.1
"beauty kulture",0,32,0.00,7.4
"hollywood beauty school",0,32,0.00,5.7
"ibeauty academy",0,32,0.00,4.8
"vs vogue beauty academy",0,32,0.00,8.2
"xotic barber academy",0,32,0.00,8.5
"lee college cosmetology",1,31,3.23,10.4
"jackson barber college",0,31,0.00,6.9
"tres barber institute",0,31,0.00,10.8
"abilene barber academy",0,30,0.00,7.2
"georgetown hair school",0,30,0.00,8.6
"royalty lash academy",0,30,0.00,7.4
"upscale barber academy",3,29,10.34,8.8
"rio men barber school",1,29,3.45,2.6
"wade gordon hairdressing academy reviews",1,29,3.45,7.7
"heights beauty college",0,29,0.00,7.8
"the men barber school",0,29,0.00,6.4
"versatile barber and beauty academy",0,29,0.00,8.6
"victoria cosmetology school",0,29,0.00,6.4
"all about beauty academy reviews",0,28,0.00,10.3
"establishment license",0,28,0.00,21.3
"invictus career college",0,28,0.00,7.3
"ivy beauty institute",0,28,0.00,8.3
"milan institute - houston reviews",0,28,0.00,9.2
"you me beauty school",0,28,0.00,7.8
"bloom beauty academy",0,27,0.00,7.3
"brazen beauty academy",0,27,0.00,7.0
"chi cosmetology school",0,27,0.00,8.1
"cultural technical institute llc cti reviews",0,27,0.00,5.8
"empire hair institute",0,27,0.00,6.8
"sloan beauty academy",0,27,0.00,6.5
"acres home barber college",0,26,0.00,3.9
"aveda arts & sciences institute houston",0,26,0.00,8.5
"collectiv academy",0,26,0.00,12.7
"deluxe barber college",0,26,0.00,9.4
"man barbershop academy",0,26,0.00,5.5
"878 barber school",1,25,4.00,8.8
"dallas blends barber academy garland",0,25,0.00,14.6
"dallas skin institute austin",0,25,0.00,8.9
"milan institute of cosmetology denton",0,25,0.00,10.5
"mogo salon academy",0,25,0.00,9.2
"the beauty point academy",0,25,0.00,8.3
"a&m barber academy",0,24,0.00,9.9
"cultural technical institute",0,24,0.00,5.3
"exclusive barber academy",0,24,0.00,9.0
"ogle school fort worth",0,24,0.00,9.1
"texas fadez barber college",0,24,0.00,8.8
