"table","school_code","current_school_name","proposed_school_name","rows_in_code","needs_review","observed_tails"
"agent_barber_student_leads","70982296","Vip Kings Barber College","Vip Kings Barber College LLC","63","false","{""LLC"":60}"
"agent_barber_student_leads","70767125","Five Star Elite Fades Barber","Five Star Elite Fades Barber College","30","false","{""College"":29}"
"agent_barber_student_leads","70053097","San Jacinto College","San Jacinto College North Campus","26","true","{""N Campus"":13,""North Campus"":13}"
"agent_barber_student_leads","70053895","Victoria Beauty","Victoria Beauty & Barber College","24","false","{""& Barber College"":12,""College"":12}"
"agent_barber_student_leads","70814000","Goldstar Barber Academy","Goldstar Barber Academy LLC","20","false","{""LLC"":10}"
"agent_barber_student_leads","70025066","Jays Technical Institute","Jays Technical Institute Inc","12","false","{""Inc"":6}"
"agent_cosmetology_student_leads","70053097","San Jacinto College","San Jacinto College North Campus","182","true","{""N Campus"":91,""North Campus"":91}"
"agent_cosmetology_student_leads","70053270","Edinburg H S Career","Edinburg H S Career Center","136","false","{""Center"":132}"
"agent_cosmetology_student_leads","70053703","Cosmetology Career","Cosmetology Career Center","106","false","{""Center"":105}"
"agent_cosmetology_student_leads","70053895","Victoria Beauty","Victoria Beauty & Barber College","96","false","{""& Barber College"":48,""College"":48}"
"agent_cosmetology_student_leads","70234906","Ranger College","Ranger College Cosmetology","74","false","{""Cosmetology"":37}"
"agent_cosmetology_student_leads","70338162","Weatherford College Wise","Weatherford College Wise County","60","false","{""County"":30}"
"agent_cosmetology_student_leads","70243840","Rio Grande City Cisd Grulla","Rio Grande City Cisd Grulla High School","54","false","{""High School"":27}"
"agent_cosmetology_student_leads","70053634","Bisd School Of","Bisd School Of Cosmetology","48","false","{""Cosmetology"":44}"
"agent_cosmetology_student_leads","70053087","Hill College","Hill College Main Campus","38","false","{""Main Campus"":19}"
"agent_cosmetology_student_leads","70053382","Ranger College","Ranger College Of Cosmetology","38","false","{""Of Cosmetology"":19}"
"agent_cosmetology_student_leads","70872830","Lubbock-Cooper High","Lubbock-Cooper High School","29","false","{""School"":28}"
"agent_cosmetology_student_leads","70053618","Bisd Career","Bisd Career Technical Education Center","22","false","{""Technical Education Center"":11,""Center"":11}"
"agent_cosmetology_student_leads","70053216","Port Neches-Groves High","Port Neches-Groves High School","18","false","{""School"":9}"
"agent_cosmetology_student_leads","70180753","Bale Beauty Academy 6","Bale Beauty Academy 6 Corp","16","false","{""Corp"":15}"
"agent_cosmetology_student_leads","70629265","Wharton County","Wharton County Junior College","14","false","{""Junior College"":7}"
"agent_cosmetology_student_leads","70524912","New Image","New Image Beauty And Barber School LLC","10","false","{""Beauty And Barber School"":5,""School LLC"":5}"
